CX-10-1,CX-10-2,CX-10-3,CX-10-4,CX-11-1,CX-11-2,CX-11-3,CX-11-4,WT-10,BT-11,BT-12,WT-13,BT-30,WT-31,BT-32,WT-33,BT-34,WT-35,WT-40,BT-41,WT-42,BT-43,BT-60,WT-61,WT-62,BT-63,WT-64,BT-65,BT-66,WT-67,WT-20,BT-21,WT-22,BT-23,WT-24,BT-25,WT-26,BT-27,WT-28,BT-29,FM-20,FM-30,FM-40,FM-60,ST-10,ST-11,ST-12_SE,ST-13,ST-14_S,AT-01,AT-02,ST-12_N,ST-12_SW,ST-14_E,ST-14_W,ST-14_N,Desired_Power,Power_Input_Signal,Power_Output,FM-20(kg/hr),FM-30(kg/hr),FM-40(kg/hr),FM-60(kg/hr),Timestamp, CTAH_Frequency
19.3222447,19.3727145,19.4551596,19.469373,19.4016188,19.3885881,19.4429885,19.2659915,19.427917,19.4601351,19.3434804,19.3110172,19.3685366,19.4047865,19.3752771,19.4375863,19.415317,19.5072302,19.0429511,19.0986668,19.4299782,19.4560371,19.6377359,19.6007937,19.5145837,19.4733678,19.9967897,19.923669,19.7752626,19.7158395,19.5028068,19.5122814,19.3886222,19.4182371,19.4001194,19.4122022,19.3451505,19.3697925,19.3787248,19.3922297,-0.0123565,-0.0045528,-0.013203,-0.004006,19.5496648,19.4828698,19.4226987,19.4360218,19.552152,19.216986,20.2246277,19.4741052,19.5317206,19.4284409,19.4683019,19.4428919,0,0,0,0.0222798,0.0172742,0.0751865,0.0001867,332.3538614,0
19.3906385,19.3688409,19.4953926,19.5067623,19.4224302,19.3949479,19.4642994,19.2868366,19.4645534,19.4306772,19.3610048,19.2918131,19.4019408,19.3962547,19.4631331,19.4268877,19.4607642,19.5235357,19.0844977,19.1522979,19.450644,19.4454323,19.6223733,19.5989288,19.4826358,19.5070337,19.9865877,19.9402073,19.7596109,19.7307279,19.538576,19.5099162,19.4061579,19.399998,19.4253083,19.421044,19.42365,19.3952201,19.4045469,19.4009931,-0.0123565,-0.0045523,-0.0132046,-0.0040062,19.553293,19.5255816,19.4343828,19.442349,19.5393015,19.2193203,20.1888786,19.4647054,19.5472835,19.4314515,19.4961929,19.422686,0,0,0,0.0222782,0.0172584,0.0752873,0.0001929,332.4538614,0
19.3878419,19.3717306,19.4930985,19.5127586,19.405921,19.373699,19.4477638,19.2660289,19.4288284,19.4155615,19.3655535,19.3288266,19.4002989,19.455735,19.418229,19.4298375,19.4324434,19.5089572,19.0445149,19.1087649,19.4504926,19.4978692,19.6468766,19.6134872,19.5128311,19.4680618,20.0058211,19.9114028,19.7677273,19.7106709,19.5187329,19.5831544,19.3787274,19.4448266,19.4142566,19.4059646,19.3903278,19.3758751,19.3763693,19.3858465,-0.0123555,-0.0045536,-0.0132063,-0.0040061,19.5811086,19.4839987,19.4062963,19.4324297,19.5368565,19.2229381,20.0006326,19.4505977,19.5383138,19.4035265,19.4747973,19.4362201,0,0,0,0.0222199,0.0173001,0.0753945,0.0001907,332.5538614,0
19.3866801,19.3549308,19.4685901,19.4740385,19.3851989,19.3397064,19.4540072,19.2620842,19.4435392,19.4478034,19.3767736,19.3450236,19.3622568,19.4553649,19.4154326,19.4339114,19.476789,19.495976,19.0644712,19.1102276,19.4308702,19.4668783,19.615381,19.6070926,19.4815635,19.4903279,19.9891655,19.913677,19.7555612,19.7048961,19.4860265,19.5966349,19.4194593,19.442676,19.4351217,19.4218549,19.3512505,19.3687842,19.3594136,19.3850025,-0.0123569,-0.004554,-0.0132064,-0.0040061,19.560305,19.510803,19.4222073,19.4422113,19.5187033,19.2038874,20.280613,19.4335788,19.5206183,19.4220744,19.4791459,19.425628,0,0,0,0.0223093,0.0173125,0.0753978,0.0001915,332.6538614,0
19.3793353,19.358248,19.4355421,19.4613638,19.3853161,19.3708633,19.4234544,19.2564039,19.4530151,19.4096615,19.3755964,19.2981129,19.3592768,19.4275109,19.3863066,19.4090511,19.4682763,19.4803573,19.0276804,19.0855316,19.4412536,19.4507295,19.6296408,19.6187477,19.4998541,19.4870629,19.992506,19.9281408,19.7607973,19.7304939,19.503288,19.5452118,19.4426458,19.4390923,19.4221109,19.3797022,19.3465307,19.3375266,19.3659111,19.3765731,-0.0123556,-0.0045538,-0.0132055,-0.0040061,19.5585136,19.526776,19.4500282,19.4560351,19.5371015,19.2125985,20.2654199,19.4722958,19.5157281,19.4479807,19.4954138,19.4129187,0,0,0,0.0222259,0.0173065,0.0753445,0.0001908,332.7538614,0
19.3605347,19.3626672,19.4596388,19.5001453,19.3788522,19.3805107,19.4530427,19.2867136,19.4508004,19.4413245,19.3599341,19.3127805,19.3605223,19.3955882,19.3788614,19.4395119,19.4423547,19.5013388,19.0657905,19.1463942,19.4049435,19.4646431,19.624172,19.5924388,19.4886988,19.495805,19.9739718,19.9332697,19.7585891,19.7055566,19.4915534,19.5199774,19.3972679,19.3882648,19.4462009,19.4286702,19.3571191,19.404979,19.376397,19.3842157,-0.0123586,-0.0045526,-0.0132031,-0.0040061,19.5611919,19.5076633,19.4266481,19.4388408,19.5285513,19.2033376,20.2696594,19.455076,19.5326441,19.4386039,19.4899423,19.4175192,0,0,0,0.02241,0.0172673,0.0751962,0.000191,332.8538614,0
19.3431041,19.3916762,19.4162142,19.4695164,19.3811498,19.3911008,19.4118363,19.2997622,19.4395326,19.4388219,19.3094779,19.3682419,19.3390603,19.4198538,19.3716758,19.4420402,19.4060301,19.5048143,19.0379037,19.1327359,19.4130894,19.4564426,19.6348876,19.5870512,19.4951538,19.4622274,20.0063916,19.8980101,19.7926809,19.6963254,19.4711639,19.5415133,19.3865884,19.3939331,19.3988741,19.4254085,19.3285032,19.4019541,19.3625179,19.4177216,-0.0123593,-0.0045536,-0.0132031,-0.0040061,19.5753819,19.4863247,19.4323137,19.4402083,19.5851649,19.226288,20.2391127,19.4631102,19.5351957,19.4027766,19.4695792,19.4323906,0,0,0,0.0224553,0.0172992,0.0751913,0.000192,332.9538614,0
19.4165675,19.327006,19.4934991,19.4295389,19.4333294,19.3380844,19.4477244,19.275232,19.42557,19.3938233,19.4147947,19.3012995,19.4305388,19.3931063,19.4295544,19.3925956,19.4456637,19.4880664,19.0399218,19.0430041,19.4883062,19.4425869,19.6435688,19.5947861,19.5104699,19.4825191,20.0121776,19.922257,19.7923149,19.6995108,19.5026302,19.5244215,19.419245,19.3526683,19.4785032,19.3726054,19.3870582,19.3484375,19.3717826,19.3852877,-0.012357,-0.0045533,-0.0132035,-0.0040061,19.5547922,19.5088426,19.4228525,19.4325207,19.538301,19.2342816,20.2584403,19.4676262,19.5407733,19.4197277,19.4797953,19.4235182,0,0,0,0.022315,0.0172893,0.0752195,0.0001914,333.0538614,0
19.4040619,19.3862926,19.4814179,19.4660205,19.4193514,19.3667542,19.427547,19.2183116,19.4561811,19.4317805,19.3979328,19.3555218,19.4064167,19.4438482,19.3820874,19.4571881,19.4583725,19.478034,19.1008002,19.078989,19.4633803,19.4690656,19.6365013,19.6035849,19.5048216,19.4925043,19.9826527,19.9246759,19.7608822,19.7114015,19.5052959,19.5457985,19.4140932,19.4143301,19.4714837,19.4300271,19.3840652,19.3703231,19.3564245,19.4203947,-0.012357,-0.0045535,-0.0132054,-0.0040061,19.5679771,19.5037903,19.4249066,19.4346533,19.5417389,19.224485,20.2578882,19.4673112,19.5386422,19.4185436,19.4787329,19.4320474,0,0,0,0.0223109,0.0172957,0.0753402,0.000191,333.1538614,0
19.4197204,19.3756529,19.4676648,19.4634009,19.3963566,19.3892489,19.417235,19.2838346,19.4469643,19.4074009,19.3930694,19.3475777,19.3655145,19.4524627,19.3722104,19.4439961,19.4411533,19.5025063,19.0822199,19.1196774,19.4521583,19.4711095,19.604999,19.5952894,19.4631243,19.4861019,19.9535368,19.9303455,19.7412224,19.7109178,19.4897911,19.5390585,19.4144587,19.4492837,19.4388548,19.4492784,19.3545105,19.3744134,19.3546153,19.3600649,-0.0123586,-0.0045526,-0.0132027,-0.0040061,19.5216583,19.5074466,19.4378027,19.4238848,19.5298059,19.1977455,20.2588775,19.4439621,19.5101115,19.4189097,19.485512,19.3919011,0,0,0,0.0224138,0.0172676,0.0751715,0.0001917,333.2538614,0
19.3945341,19.4047217,19.457805,19.4935742,19.459937,19.3940769,19.4146175,19.2729219,19.4414426,19.4250962,19.3850024,19.3608351,19.4007016,19.4559008,19.4480326,19.4987257,19.4456637,19.5311758,19.0748906,19.1083185,19.4848688,19.466392,19.6166838,19.5821082,19.4745758,19.4482811,19.9903043,19.8963561,19.7531495,19.69325,19.5479533,19.5856102,19.3906614,19.4252512,19.4337454,19.4365883,19.3745158,19.4098176,19.3988063,19.3964371,-0.0123587,-0.0045531,-0.0132026,-0.0040061,19.5375453,19.4975158,19.3982562,19.4228371,19.5021074,19.1945333,20.2596928,19.4470595,19.5310919,19.40649,19.4698922,19.4041209,0,0,0,0.0224194,0.0172833,0.0751628,0.0001914,333.3538614,0
19.4362367,19.3142161,19.5360685,19.437291,19.4891696,19.3695322,19.4923674,19.283161,19.4836147,19.4521089,19.4364618,19.3229719,19.4550328,19.401255,19.4545122,19.3777526,19.4421936,19.4701469,19.1412371,19.1258284,19.5184714,19.4642272,19.6141828,19.613946,19.4670994,19.4794174,19.967994,19.9474065,19.750478,19.7144917,19.5516258,19.5118344,19.4443233,19.3696944,19.499399,19.3776319,19.4626827,19.3686284,19.4251833,19.3673742,-0.012357,-0.004554,-0.0132051,-0.0040096,19.5365248,19.5227872,19.4299295,19.4390696,19.5034066,19.2074406,20.2825028,19.4571728,19.5051602,19.4248553,19.4932212,19.3973732,0,0,0,0.0223124,0.0173126,0.0753199,0.0003006,333.4538614,0
19.4074378,19.3309074,19.4986143,19.4256525,19.4273108,19.3751884,19.4079241,19.2811565,19.4344455,19.4162036,19.4001058,19.3238112,19.410881,19.4009305,19.379407,19.3846194,19.423711,19.4639837,19.0766863,19.1274198,19.4878474,19.4658174,19.6034513,19.6126871,19.4817113,19.4814744,19.9293989,19.8903496,19.756374,19.7132854,19.5167112,19.5735545,19.3932901,19.3866562,19.4684289,19.3874069,19.4262613,19.3739018,19.3810288,19.3912167,-0.012357,-0.0045538,-0.013207,-0.0040082,19.557468,19.5176771,19.4162896,19.4600303,19.511728,19.2123705,20.2805636,19.4473241,19.5190122,19.4353931,19.4816453,19.4119391,0,0,0,0.0223148,0.0173071,0.0754361,0.0002573,333.5538614,0
19.367871,19.3415702,19.4617876,19.418198,19.4072999,19.3516211,19.4155787,19.2250619,19.4536343,19.4550556,19.3601378,19.3343105,19.3697499,19.4114487,19.4004461,19.4310079,19.4146611,19.4682005,19.0474029,19.0832036,19.4315834,19.4638014,19.6327948,19.5930103,19.4895073,19.4679511,19.9892782,19.8967499,19.7637231,19.7033515,19.5563674,19.5371829,19.4230067,19.422296,19.4080758,19.3912544,19.3523971,19.3535818,19.3716454,19.3837289,-0.0123571,-0.0045539,-0.0132078,-0.0040059,19.5708695,19.4981558,19.4429617,19.4246627,19.5448725,19.2089062,20.2541684,19.4659403,19.5258115,19.4099742,19.4657589,19.4163709,0,0,0,0.0223203,0.0173085,0.0754881,0.0001835,333.6538614,0
19.3967919,19.4328027,19.4693141,19.5155045,19.4555746,19.4053507,19.4620819,19.2893577,19.4771016,19.4453584,19.3500199,19.3561804,19.3939498,19.4631264,19.4301327,19.4711155,19.4315541,19.5471492,19.0786461,19.1390986,19.4888579,19.477014,19.611304,19.6101199,19.4935929,19.4625614,19.9757158,19.9286243,19.7439987,19.7148781,19.5269502,19.5676877,19.4220111,19.4573093,19.4357411,19.4750653,19.4016259,19.4499551,19.4088758,19.4311453,-0.0123572,-0.0045544,-0.0132064,-0.0040063,19.5530839,19.5163718,19.4220914,19.4385643,19.4872849,19.219204,20.25995,19.4486245,19.5146034,19.4189011,19.4789942,19.4177165,0,0,0,0.0223226,0.0173254,0.0754005,0.0001972,333.7538614,0
19.3528108,19.3724768,19.4279617,19.4966595,19.4021382,19.3943198,19.4303342,19.2594943,19.4241257,19.4217566,19.3350886,19.3237147,19.3858626,19.3946288,19.398398,19.4291968,19.4175882,19.5298709,19.0512292,19.1453476,19.4645447,19.4512788,19.6102535,19.58444,19.492779,19.4709861,19.9865856,19.9241129,19.7596088,19.7094176,19.510993,19.5218886,19.3828318,19.4318736,19.3843608,19.4689366,19.3729881,19.4149236,19.3534023,19.4221111,-0.0123571,-0.0045568,-0.0132066,-0.0040065,19.5686675,19.5101655,19.4106718,19.4411011,19.5055164,19.1994178,20.2463567,19.4490504,19.531588,19.4233333,19.4889354,19.4259393,0,0,0,0.0223196,0.0173986,0.0754124,0.0002017,333.8538614,0
